,momentum,residual_momentum,low_volatility,low_beta,reversal
2005-01-01,0.1390276859662717,0.2712584926394567,0.0,0.01983166273129594,0.5698821586629756
2007-01-01,0.10504003807836636,0.2293572617082528,0.0,0.16632683796167047,0.49927586225171044
2009-01-01,0.2238281877402757,0.0,0.0,0.2861191068894356,0.49005270537028855
2011-01-01,0.0,0.0,0.0,0.0,1.0
2013-01-01,0.06259936987761962,0.41020880751559713,0.349902486561981,0.15532549279416197,0.021963843250640425
2015-01-01,0.0,0.16285216540205658,0.0,0.0,0.8371478345979435
2017-01-01,0.019314975923720362,0.13781501474627153,0.13471078559040703,0.15777689258683128,0.5503823311527698
2019-01-01,0.045800501924738085,0.0,0.294331848379942,0.20661357570611,0.4532540739892099
2021-01-01,0.0,0.0,0.12566867660459832,0.0,0.8743313233954018
2023-01-01,0.0,0.0,0.3583203835585241,0.21722626172808232,0.42445335471339374
2025-01-01,0.03128694575172153,0.032525491666160006,0.0,0.0,0.9361875625821183
